age,Sr87_86Sr,CI_plus,CI_minus
27.50,0.708058,0.708066,0.708050
27.55,0.708056,0.708064,0.708048
27.60,0.708054,0.708062,0.708047
27.65,0.708052,0.708060,0.708045
27.70,0.708051,0.708058,0.708043
27.75,0.708049,0.708056,0.708041
27.80,0.708047,0.708055,0.708039
27.85,0.708045,0.708053,0.708037
27.90,0.708043,0.708051,0.708035
27.95,0.708041,0.708049,0.708034
28.00,0.708040,0.708048,0.708032
28.05,0.708038,0.708046,0.708030
28.10,0.708036,0.708044,0.708028
28.15,0.708034,0.708042,0.708026
28.20,0.708033,0.708041,0.708025
28.25,0.708031,0.708039,0.708023
28.30,0.708029,0.708037,0.708021
28.35,0.708028,0.708035,0.708020
28.40,0.708026,0.708034,0.708018
28.45,0.708024,0.708032,0.708016
28.50,0.708022,0.708030,0.708014
28.55,0.708021,0.708028,0.708013
28.60,0.708019,0.708027,0.708011
28.65,0.708017,0.708025,0.708009
28.70,0.708015,0.708023,0.708008
28.75,0.708014,0.708022,0.708006
28.80,0.708012,0.708020,0.708004
28.85,0.708010,0.708019,0.708002
28.90,0.708009,0.708017,0.708000
28.95,0.708007,0.708015,0.707999
29.00,0.708005,0.708014,0.707997
29.05,0.708004,0.708012,0.707995
29.10,0.708002,0.708011,0.707993
29.15,0.708000,0.708009,0.707992
29.20,0.707999,0.708008,0.707990
29.25,0.707997,0.708006,0.707988
29.30,0.707996,0.708005,0.707987
29.35,0.707994,0.708003,0.707985
29.40,0.707993,0.708001,0.707984
29.45,0.707991,0.708000,0.707982
29.50,0.707989,0.707998,0.707981
29.55,0.707988,0.707997,0.707979
29.60,0.707986,0.707995,0.707978
29.65,0.707985,0.707994,0.707976
29.70,0.707984,0.707992,0.707975
29.75,0.707982,0.707991,0.707974
29.80,0.707981,0.707989,0.707972
29.85,0.707979,0.707988,0.707971
29.90,0.707978,0.707986,0.707969
29.95,0.707976,0.707985,0.707968
30.00,0.707975,0.707983,0.707967
30.05,0.707973,0.707982,0.707965
30.10,0.707972,0.707980,0.707964
30.15,0.707971,0.707979,0.707962
30.20,0.707969,0.707978,0.707961
30.25,0.707968,0.707976,0.707959
30.30,0.707966,0.707975,0.707958
30.35,0.707965,0.707974,0.707956
30.40,0.707963,0.707972,0.707955
30.45,0.707962,0.707971,0.707953
30.50,0.707960,0.707969,0.707952
30.55,0.707959,0.707968,0.707950
30.60,0.707957,0.707966,0.707949
30.65,0.707956,0.707965,0.707947
30.70,0.707955,0.707963,0.707946
30.75,0.707953,0.707962,0.707945
30.80,0.707952,0.707961,0.707944
30.85,0.707951,0.707959,0.707942
30.90,0.707950,0.707958,0.707941
30.95,0.707948,0.707957,0.707940
31.00,0.707947,0.707955,0.707939
31.05,0.707946,0.707954,0.707938
31.10,0.707945,0.707953,0.707936
31.15,0.707943,0.707951,0.707935
31.20,0.707942,0.707950,0.707934
31.25,0.707941,0.707949,0.707933
31.30,0.707939,0.707948,0.707931
